data_group,layer,k,basis_name,sample_selection_criteria,sample_selection_criteria_slug,val_auroc
butterfly,layer1,32,PCA,SelectNSamples(N=∞),select-all,0.9866211414337158
butterfly,layer1,32,PRCASortAbs,SelectNSamples(N=∞),select-all,0.9832589626312256
butterfly,layer1,32,GradPCA,SelectNSamples(N=∞),select-all,0.9048781991004944
butterfly,layer1,48,PRCAPosDef,SelectNSamples(N=∞),select-all,0.9933028221130371
butterfly,layer1,48,PRCASortAbs,SelectNSamples(N=∞),select-all,0.9932954907417297
butterfly,layer1,48,GradPCA,SelectNSamples(N=∞),select-all,0.9916364550590515
butterfly,layer1,48,PCA,SelectNSamples(N=∞),select-all,0.9882931113243103
butterfly,layer1,64,PCA,SelectNSamples(N=∞),select-all,0.9933035969734192
butterfly,layer1,64,PRCAPosDef,SelectNSamples(N=∞),select-all,0.9933035969734192
butterfly,layer1,64,GradPCA,SelectNSamples(N=∞),select-all,0.9933034181594849
butterfly,layer1,64,PRCASortAbs,SelectNSamples(N=∞),select-all,0.9933034181594849
butterfly,layer2,1,PCA,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.5
butterfly,layer2,1,GradPCA,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.5
butterfly,layer2,1,PRCASortAbs,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.5
butterfly,layer2,1,PRCAPosDef,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.5
butterfly,layer2,16,PRCAPosDef,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.8527693152427673
butterfly,layer2,16,PCA,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.7144731879234314
butterfly,layer2,16,GradPCA,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.5739071369171143
butterfly,layer2,16,PRCASortAbs,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.5299896001815796
butterfly,layer2,32,PRCAPosDef,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.9766000509262085
